SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
219,Prefer not to say,Always,Often,Sometimes,Never,Often,Rarely,Never,Sometimes,Often,Often,Sometimes,Often,Never,Never,Often,Rarely,Sometimes,Rarely,Often,Often,Never,Sometimes,Sometimes,Never,Never,Often,Always,Rarely,Never,Poor study habits,Career,No,No,No,No,No,Yes,Electricity/internet problems  ,Never,Often,Sometimes,Sometimes,Yes,Rarely,Sometimes,Often,Sometimes,Solving on my own  ,Never,Yes,Writing a diary  ,Often,Often,Always,Sometimes,Often,Sometimes,Rarely,Always,Never,Rarely,No,No,Skip,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",45.0,20.0,66.66666666666666,50.0,45.416666666666664,Moderate Risk,Low Risk,High Risk,Moderate Risk,44.350000000000016
220,Prefer not to say,Often,Always,Never,Sometimes,Sometimes,Often,Never,Sometimes,Often,Rarely,Never,Always,Sometimes,Sometimes,Always,Sometimes,Often,Sometimes,Often,Often,Rarely,Sometimes,Always,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Difficulty understanding content,Exams,No,No,No,No,yes,No,Lack of time management  ,Never,Often,Often,Sometimes,No,Never,Sometimes,Often,Rarely,Waiting for things to improve  ,Rarely,No,Yoga or meditation  ,Sometimes,Sometimes,Sometimes,Never,Never,Never,Often,Never,Always,Rarely,No,No,Never,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Using weapons or carrying dangerous objects that could hurt others",50.0,30.0,33.33333333333333,33.33333333333333,36.666666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,38.16249999999995
221,Female,Never,Rarely,Often,Rarely,Never,Often,Rarely,No,Never,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Never,Always,Often,Rarely,Often,Always,Always,Never,Often,Sometimes,Never,Rarely,Often,Rarely,Lack of concentration,College admissions,Yes,Yes,yes,yes,yes,No,Lack of social interaction  ,Never,Often,Never,Never,Yes,Often,Often,Never,Never,Talking to friends  ,Always,Yes,Helping others  ,Never,Rarely,Often,Always,Rarely,Rarely,Often,Often,Sometimes,Often,Yes,Yes,Always,Rarely,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",50.0,80.0,58.333333333333336,25.0,53.333333333333336,Moderate Risk,High Risk,Moderate Risk,Low Risk,53.29791666666665
222,Male,Rarely,Sometimes,Sometimes,Never,Never,Always,Rarely,No,Always,Often,Never,Always,Rarely,Never,Often,Never,Always,Never,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Always,Sometimes,Sometimes,Sometimes,Distractions,Studies,Yes,No,No,yes,yes,No,Personal reasons  ,Sometimes,Rarely,Often,Sometimes,Yes,Often,Always,Never,Rarely,Talking to parents  ,Often,No,Watching TV  ,Rarely,Always,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Yes,Yes,Often,Rarely,"Skipping classes, Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,80.0,75.0,33.33333333333333,58.33333333333333,Moderate Risk,High Risk,High Risk,Moderate Risk,52.73333333333334
223,Prefer not to say,Never,Often,Often,Often,Rarely,Rarely,Always,Yes,Often,Sometimes,Sometimes,Always,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Always,Rarely,Often,Sometimes,Always,Often,Always,Often,Never,Always,Poor study habits,Results,No,No,yes,No,yes,No,Difficulty understanding content  ,Sometimes,Often,Never,Often,Yes,Often,Always,Never,Rarely,Ignoring the feelings  ,Always,No,Changing the way I think  ,Often,Often,Often,Sometimes,Never,Rarely,Sometimes,Sometimes,Always,Sometimes,No,No,Sometimes,Never,"Skipping classes, Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,30.0,58.333333333333336,33.33333333333333,40.41666666666667,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,41.74791666666661
224,Prefer not to say,Sometimes,Never,Often,Always,Never,Sometimes,Sometimes,No,Sometimes,Always,Rarely,Often,Always,Always,Often,Rarely,Often,Always,Often,Rarely,Often,Often,Often,Never,Sometimes,Never,Rarely,Sometimes,Often,Difficulty managing time,I dont feel anxious,No,Yes,yes,yes,yes,No,Technical issues  ,Often,Always,Sometimes,Never,Yes,Always,Rarely,Sometimes,Often,Talking to teachers  ,Often,No,Writing a diary  ,Rarely,Often,Often,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Not Sure,Not Sure,Sometimes,Rarely,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",65.0,40.0,54.166666666666664,75.0,58.541666666666664,High Risk,Moderate Risk,Moderate Risk,High Risk,57.14375000000002
225,Prefer not to say,Rarely,Rarely,Rarely,Often,Often,Often,Always,Yes,Often,Always,Always,Always,Never,Often,Always,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Always,Sometimes,Rarely,Never,Always,Often,Difficulty understanding content,College admissions,No,Yes,yes,No,yes,Yes,Lack of time management  ,Always,Always,Always,Rarely,No,Always,Rarely,Rarely,Always,Solving on my own  ,Never,No,Yoga or meditation  ,Often,Always,Rarely,Often,Always,Always,Often,Sometimes,Always,Sometimes,No,No,Always,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",85.0,25.0,75.0,75.0,65.0,High Risk,Low Risk,High Risk,High Risk,61.95208333333334
226,Female,Rarely,Often,Never,Rarely,Never,Sometimes,Always,No,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Often,Sometimes,Never,Rarely,Always,Often,Often,Rarely,Never,Never,Rarely,Never,Rarely,Lack of concentration,Studies,Yes,Yes,yes,No,yes,Yes,Lack of social interaction  ,Always,Sometimes,Never,Often,No,Always,Rarely,Never,Rarely,Waiting for things to improve  ,Often,Yes,Helping others  ,Often,Always,Often,Sometimes,Often,Often,Never,Rarely,Never,Never,No,No,Sometimes,Sometimes,"Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",25.0,25.0,54.166666666666664,41.66666666666667,36.45833333333333,Low Risk,Low Risk,Moderate Risk,Moderate Risk,39.71458333333337
227,Prefer not to say,Rarely,Always,Sometimes,Always,Never,Always,Always,Yes,Never,Sometimes,Often,Sometimes,Never,Often,Rarely,Never,Rarely,Often,Sometimes,Always,Never,Rarely,Never,Sometimes,Always,Always,Always,Rarely,Never,Poor study habits,Exams,No,No,yes,yes,yes,No,Personal reasons  ,Often,Often,Sometimes,Sometimes,No,Always,Never,Rarely,Sometimes,Talking to friends  ,Always,Yes,Changing the way I think  ,Sometimes,Never,Never,Sometimes,Often,Often,Always,Rarely,Rarely,Often,Not Sure,Not Sure,Rarely,Often,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",75.0,40.0,29.166666666666668,58.333333333333336,50.625,High Risk,Moderate Risk,Low Risk,Moderate Risk,49.88541666666666
228,Male,Always,Never,Sometimes,Rarely,Never,Never,Often,Yes,Sometimes,Sometimes,Rarely,Sometimes,Often,Always,Often,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Always,Sometimes,Always,Often,Often,Never,Never,Never,Distractions,Career,Yes,No,yes,yes,No,Yes,Electricity/internet problems  ,Always,Never,Always,Always,No,Often,Always,Often,Never,Talking to teachers  ,Often,Yes,Watching TV  ,Sometimes,Rarely,Rarely,Never,Often,Never,Rarely,Never,Never,Always,Yes,Yes,Rarely,Often,"Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,80.0,20.833333333333336,50.0,48.958333333333336,Moderate Risk,High Risk,Low Risk,Moderate Risk,50.39166666666665
229,Female,Rarely,Often,Rarely,Always,Rarely,Often,Always,Yes,Often,Sometimes,Sometimes,Rarely,Often,Always,Rarely,Rarely,Always,Often,Rarely,Sometimes,Rarely,Often,Always,Always,Often,Always,Rarely,Often,Never,Difficulty understanding content,Results,Yes,Yes,yes,yes,yes,Yes,Difficulty understanding content  ,Often,Always,Never,Rarely,No,Always,Often,Sometimes,Always,Talking to parents  ,Never,No,Writing a diary  ,Never,Rarely,Never,Never,Sometimes,Sometimes,Never,Always,Often,Never,Yes,Yes,Rarely,Often,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",30.0,75.0,41.66666666666667,83.33333333333334,57.50000000000001,Moderate Risk,High Risk,Moderate Risk,High Risk,56.46041666666666
230,Male,Always,Rarely,Never,Rarely,Often,Often,Always,Yes,Always,Never,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Never,Never,Often,Sometimes,Rarely,Often,Always,Often,Rarely,Never,Sometimes,Never,Difficulty managing time,I dont feel anxious,Yes,Yes,No,yes,No,No,Technical issues  ,Always,Never,Always,Never,No,Never,Often,Always,Never,Solving on my own  ,Rarely,Yes,Yoga or meditation  ,Rarely,Often,Often,Often,Always,Never,Always,Always,Never,Always,No,No,Often,Never,"Experimenting with substances I try alcohol, smoking, or other substances",60.0,30.0,70.83333333333334,33.33333333333333,48.54166666666667,High Risk,Moderate Risk,High Risk,Moderate Risk,46.27291666666667
231,Prefer not to say,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Often,Rarely,Always,Often,Always,Rarely,Often,Sometimes,Never,Always,Often,Sometimes,Rarely,Never,Never,Always,Sometimes,Often,Rarely,Poor study habits,Exams,No,Yes,yes,yes,No,No,Electricity/internet problems  ,Always,Never,Always,Often,No,Sometimes,Rarely,Never,Sometimes,Waiting for things to improve  ,Always,Yes,Helping others  ,Always,Always,Always,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Often,Not Sure,Not Sure,Always,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,50.0,50.0,33.33333333333333,45.83333333333333,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,46.93958333333333
232,Female,Often,Always,Always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Often,Never,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Always,Always,Always,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Never,Rarely,Rarely,Lack of concentration,Results,No,yes,No,yes,No,No,Lack of time management  ,Rarely,Often,Sometimes,Always,Yes,Often,Often,Often,Often,Ignoring the feelings  ,Never,No,Changing the way I think  ,Always,Never,Rarely,Always,Always,Sometimes,Never,Often,Rarely,Rarely,Not Sure,Not Sure,Often,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",40.0,55.00000000000001,54.166666666666664,75.0,56.041666666666664,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,57.13541666666667
233,Prefer not to say,Rarely,Often,Never,Rarely,Always,Rarely,Sometimes,Yes,Sometimes,Often,Rarely,Rarely,Always,Sometimes,Never,Often,Often,Often,Rarely,Sometimes,Rarely,Never,Rarely,Always,Often,Rarely,Never,Never,Sometimes,Distractions,Career,Yes,No,yes,No,No,No,Lack of social interaction  ,Rarely,Never,Rarely,Often,No,Always,Always,Always,Sometimes,Talking to friends  ,Never,No,Watching TV  ,Never,Always,Often,Rarely,Rarely,Often,Rarely,Never,Often,Always,Not Sure,Not Sure,Skip,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license",45.0,60.0,50.0,83.33333333333334,59.583333333333336,Moderate Risk,High Risk,Moderate Risk,High Risk,57.641666666666616
234,Male,Sometimes,Sometimes,Rarely,Never,Often,Often,Always,No,Rarely,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Often,Often,Rarely,Rarely,Always,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Often,Rarely,Difficulty managing time,Studies,No,No,yes,yes,yes,No,Personal reasons  ,Often,Never,Sometimes,Never,No,Rarely,Rarely,Always,Rarely,Talking to teachers  ,Always,Yes,Writing a diary  ,Always,Never,Always,Often,Rarely,Rarely,Always,Sometimes,Always,Often,No,No,Sometimes,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Avoiding homework or assignments intentionally",50.0,25.0,58.333333333333336,50.0,45.833333333333336,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,44.545833333333356
235,Prefer not to say,Never,Rarely,Always,Never,Never,Sometimes,Sometimes,No,Often,Often,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Often,Never,Often,Never,Always,Often,Always,Never,Always,Often,Sometimes,Difficulty understanding content,College admissions,No,Yes,yes,yes,yes,No,Difficulty understanding content  ,Sometimes,Always,Always,Sometimes,No,Always,Always,Always,Always,Talking to parents  ,Often,Yes,Yoga or meditation  ,Rarely,Sometimes,Rarely,Never,Rarely,Never,Always,Always,Rarely,Often,Not Sure,Not Sure,Rarely,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",75.0,55.00000000000001,37.5,100.0,66.875,High Risk,Moderate Risk,Moderate Risk,High Risk,58.39999999999999
236,Prefer not to say,Sometimes,Often,Sometimes,Sometimes,Often,Always,Often,No,Rarely,Sometimes,Never,Often,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Often,Always,Sometimes,Often,Always,Always,Never,Always,Rarely,Rarely,Poor study habits,I dont feel anxious,No,No,yes,yes,No,No,Technical issues  ,Always,Sometimes,Always,Never,No,Never,Rarely,Often,Always,Waiting for things to improve  ,Always,No,Helping others  ,Sometimes,Rarely,Always,Sometimes,Sometimes,Never,Always,Never,Rarely,Often,Not Sure,Not Sure,Sometimes,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",65.0,40.0,41.66666666666667,58.333333333333336,51.25000000000001,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,51.33333333333333
237,Female,Sometimes,Always,Often,Often,Never,Never,Always,Sometimes,Never,Sometimes,Always,Rarely,Sometimes,Often,Rarely,Never,Rarely,Always,Often,Never,Often,Never,Rarely,Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Lack of concentration,Studies,No,Yes,yes,yes,yes,No,Lack of social interaction  ,Rarely,Rarely,Always,Rarely,No,Always,Often,Never,Always,Solving on my own  ,Never,No,Changing the way I think  ,Always,Always,Never,Always,Always,Rarely,Often,Always,Sometimes,Often,No,No,Rarely,Sometimes,"Skipping classes, Driving without a license, Stealing or shoplifting, Running away from home",60.0,30.0,75.0,66.66666666666666,57.916666666666664,High Risk,Moderate Risk,High Risk,High Risk,58.012500000000024
238,Female,Sometimes,Often,Rarely,Always,Rarely,Always,Rarely,No,Sometimes,Never,Never,Always,Always,Often,Sometimes,Never,Rarely,Often,Never,Never,Often,Sometimes,Never,Often,Rarely,Always,Never,Sometimes,Often,Distractions,Career,Yes,No,yes,yes,yes,No,Lack of time management  ,Never,Rarely,Always,Always,No,Rarely,Sometimes,Sometimes,Never,Ignoring the feelings  ,Often,Yes,Writing a diary  ,Never,Often,Never,Sometimes,Always,Sometimes,Often,Never,Never,Often,Not Sure,Not Sure,Often,Sometimes,"Skipping classes, Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",65.0,55.00000000000001,37.5,25.0,45.625,High Risk,Moderate Risk,Moderate Risk,Low Risk,48.32708333333331
239,Female,Often,Always,Never,Always,Never,Rarely,Often,Yes,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Always,Often,Rarely,Always,Rarely,Rarely,Sometimes,Always,Never,Always,Always,Never,Often,Always,Difficulty understanding content,Results,No,No,yes,No,No,No,Personal reasons  ,Never,Sometimes,Never,Often,Yes,Always,Sometimes,Rarely,Rarely,Talking to teachers  ,Never,Yes,Watching TV  ,Often,Sometimes,Rarely,Sometimes,Always,Often,Never,Always,Often,Often,No,No,Sometimes,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home",40.0,20.0,66.66666666666666,50.0,44.166666666666664,Moderate Risk,Low Risk,High Risk,Moderate Risk,44.18333333333333
240,Female,Often,Often,Sometimes,Never,Sometimes,Never,Often,Yes,Always,Sometimes,Often,Never,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Lack of concentration,College admissions,No,yes,yes,yes,No,No,Electricity/internet problems  ,Sometimes,Always,Often,Never,No,Always,Never,Sometimes,Sometimes,Solving on my own  ,Sometimes,Yes,Yoga or meditation  ,Sometimes,Always,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Always,Sometimes,Not Sure,Not Sure,Always,Often,"Skipping classes, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",65.0,55.00000000000001,70.83333333333334,66.66666666666666,64.375,High Risk,Moderate Risk,High Risk,High Risk,57.92708333333333
241,Male,Always,Always,Sometimes,Always,Never,Always,Sometimes,Yes,Rarely,Always,Rarely,Always,Sometimes,Rarely,Always,Never,Sometimes,Never,Sometimes,Always,Rarely,Sometimes,Often,Never,Sometimes,Sometimes,Never,Never,Never,Difficulty managing time,Exams,Yes,yes,yes,No,No,Yes,Difficulty understanding content  ,Never,Rarely,Often,Never,No,Never,Rarely,Sometimes,Always,Talking to friends  ,Sometimes,Yes,Helping others  ,Sometimes,Never,Never,Always,Often,Rarely,Never,Sometimes,Often,Often,Yes,Yes,Always,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",40.0,75.0,50.0,50.0,53.75,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,51.47916666666665
242,Female,Always,Sometimes,Often,Always,Rarely,Never,Never,No,Sometimes,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Never,Always,Often,Never,Often,Always,Often,Rarely,Never,Rarely,Always,Always,Rarely,Never,Distractions,I dont feel anxious,No,No,yes,yes,yes,Yes,Technical issues  ,Sometimes,Rarely,Rarely,Rarely,No,Never,Always,Always,Never,Talking to parents  ,Sometimes,No,Changing the way I think  ,Sometimes,Never,Always,Never,Always,Sometimes,Often,Often,Always,Sometimes,Not Sure,Not Sure,Never,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,40.0,62.5,33.33333333333333,45.20833333333333,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,47.43125
243,Male,Never,Often,Rarely,Never,Never,Rarely,Never,No,Often,Always,Always,Never,Always,Sometimes,Always,Always,Always,Rarely,Sometimes,Often,Rarely,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Poor study habits,Career,No,Yes,yes,yes,No,No,Lack of social interaction  ,Often,Sometimes,Often,Often,Yes,Always,Always,Sometimes,Often,Waiting for things to improve  ,Rarely,No,Writing a diary  ,Sometimes,Sometimes,Rarely,Always,Often,Never,Often,Always,Never,Sometimes,Yes,Yes,Never,Always,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",50.0,80.0,58.333333333333336,75.0,65.83333333333334,Moderate Risk,High Risk,Moderate Risk,High Risk,62.58749999999996
244,Prefer not to say,Always,Rarely,Never,Often,Always,Rarely,Never,No,Often,Sometimes,Sometimes,Rarely,Always,Always,Sometimes,Always,Never,Rarely,Always,Often,Never,Rarely,Rarely,Often,Always,Often,Often,Sometimes,Sometimes,Difficulty understanding content,Exams,Yes,No,yes,No,yes,Yes,Electricity/internet problems  ,Always,Sometimes,Never,Rarely,No,Sometimes,Sometimes,Always,Often,Ignoring the feelings  ,Never,No,Watching TV  ,Always,Always,Sometimes,Sometimes,Never,Sometimes,Often,Never,Rarely,Rarely,Yes,Yes,Rarely,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,60.0,37.5,75.0,53.125,Moderate Risk,High Risk,Moderate Risk,High Risk,53.03750000000001
245,Prefer not to say,Always,Often,Rarely,Always,Always,Rarely,Often,No,Always,Sometimes,Often,Sometimes,Often,Never,Rarely,Often,Often,Rarely,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Never,Always,Never,Often,Always,Lack of concentration,College admissions,Yes,Yes,No,yes,yes,Yes,Lack of time management  ,Rarely,Never,Often,Sometimes,No,Always,Rarely,Rarely,Always,Talking to teachers  ,Always,Yes,Yoga or meditation  ,Rarely,Rarely,Sometimes,Always,Never,Rarely,Often,Always,Always,Sometimes,Yes,Yes,Sometimes,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",45.0,65.0,62.5,75.0,61.875,Moderate Risk,High Risk,High Risk,High Risk,60.372916666666654
246,Prefer not to say,Often,Rarely,Rarely,Rarely,Always,Never,Often,Yes,Always,Rarely,Always,Sometimes,Often,Rarely,Rarely,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Often,Always,Often,Always,Never,Always,Distractions,Studies,No,Yes,yes,No,No,No,Personal reasons  ,Often,Often,Often,Rarely,Yes,Sometimes,Often,Sometimes,Always,Talking to friends  ,Often,Yes,Helping others  ,Often,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Often,Never,Yes,Yes,Skip,Often,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",40.0,80.0,25.0,66.66666666666666,52.916666666666664,Moderate Risk,High Risk,Low Risk,High Risk,53.02499999999999
247,Prefer not to say,Rarely,Sometimes,Never,Never,Often,Sometimes,Never,Yes,Always,Never,Rarely,Never,Often,Never,Rarely,Rarely,Always,Often,Sometimes,Always,Often,Never,Often,Often,Never,Never,Sometimes,Sometimes,Rarely,Poor study habits,Results,Yes,No,yes,yes,yes,Yes,Technical issues  ,Often,Sometimes,Often,Always,Yes,Never,Rarely,Never,Sometimes,Solving on my own  ,Often,No,Watching TV  ,Often,Rarely,Often,Sometimes,Often,Sometimes,Always,Often,Often,Rarely,No,No,Never,Often,"Skipping classes, Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,20.0,62.5,16.666666666666664,39.791666666666664,High Risk,Low Risk,High Risk,Low Risk,40.26874999999996
248,Female,Always,Never,Never,Sometimes,Sometimes,Never,Always,Yes,Sometimes,Never,Always,Often,Always,Often,Never,Never,Always,Sometimes,Rarely,Never,Sometimes,Always,Often,Sometimes,Often,Often,Often,Always,Never,Difficulty understanding content,I dont feel anxious,Yes,Yes,yes,No,No,No,Difficulty understanding content  ,Rarely,Rarely,Sometimes,Always,Yes,Never,Often,Rarely,Sometimes,Talking to parents  ,Never,No,Changing the way I think  ,Rarely,Sometimes,Always,Never,Sometimes,Rarely,Rarely,Often,Always,Always,Not Sure,Not Sure,Sometimes,Always,"Bullying or getting into fights, Driving without a license, Running away from home, Avoiding homework or assignments intentionally",45.0,65.0,62.5,25.0,49.375,Moderate Risk,High Risk,High Risk,Low Risk,49.38541666666666
249,Male,Often,Often,Sometimes,Often,Rarely,Never,Never,Yes,Never,Sometimes,Sometimes,Always,Always,Always,Always,Often,Never,Often,Never,Never,Often,Sometimes,Always,Always,Always,Never,Rarely,Sometimes,Rarely,Difficulty managing time,Results,No,No,No,yes,yes,Yes,Lack of social interaction  ,Sometimes,Always,Never,Often,Yes,Always,Often,Always,Always,Waiting for things to improve  ,Rarely,No,Writing a diary  ,Never,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Always,Always,Often,Not Sure,Not Sure,Rarely,Rarely,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,45.0,62.5,100.0,64.375,Moderate Risk,Moderate Risk,High Risk,High Risk,62.525000000000006
